date	bin	turnover	price
20160321	21	2419104.715	203.8489724
20160321	22	2321219.617	203.814152
20160321	23	2024675.504	203.7395367
20160321	24	2198003.584	203.659947
20160321	25	4574261.519	203.5057421
20160321	26	6779930.422	203.6201522
20160322	1	4943665.363	202.8788742
20160322	2	3852161.531	203.13764
20160322	3	2549363.875	203.1774348
20160322	4	2336682.935	203.3415885
20160322	5	2661020.615	203.5107165
20160322	6	1808981.107	203.4808703
20160322	7	1803343.187	203.5704087
20160322	8	1855482.635	203.6301009
20160322	9	2050489.918	203.5405626
20160322	10	1645848.323	203.3017936
20160322	11	1150456.226	203.3903371
20160322	12	2311591.228	203.7494854
20160322	13	1823338.754	203.8216135
20160322	14	2768182.297	204.0877414
20160322	15	1525234.639	203.9683569
20160322	16	1597874.241	204.1076388
20160322	17	2024765.968	203.898716
20160322	18	1979856.607	203.9882543
20160322	19	2481222.345	204.0479465
20160322	20	3306494.551	204.0479465
20160322	21	2113174.456	204.0628696
20160322	22	3341883.075	203.6698957
20160322	23	4002725.846	203.6102035
20160322	24	4561199.517	203.490819
20160322	25	4216127.482	203.5107165
20160322	26	11874138.99	203.5505113
20160323	1	5304628.913	202.8491275
20160323	2	2567654.697	202.8396763
20160323	3	3855237.308	202.9287172
20160323	4	2386569.829	202.8739993
20160323	5	4501396.761	202.8192814
20160323	6	2105395.555	202.8441532
20160323	7	1946963.885	202.7645636
20160323	8	2315508.321	202.6053843
20160323	9	3167461.385	202.4959485
20160323	10	1938432.122	202.5158459
20160323	11	1922088.286	202.7347174
20160323	12	1845291.359	202.9177736
20160323	13	2206651.946	202.9734864
20160323	14	1299384.147	202.8441532
20160323	15	1047016.636	202.9038454
20160323	16	846332.2323	202.8043584
20160323	17	954436.7508	202.6849739
20160323	18	704912.8263	202.7735174
20160323	19	1267531.761	202.8441532
20160323	20	2388957.074	202.6650765
20160323	21	2200076.216	202.5357433
20160323	22	3742544.253	202.1706258
20160323	23	3144598.109	202.2073366
20160323	24	2776862.823	202.1775899
20160323	25	3190161.826	202.1676412
20160323	26	8937825.27	202.1668453
20160324	1	6017141.723	200.9190787
20160324	2	3937454.036	201.2125655
20160324	3	3004583.911	201.0533862
20160324	4	1876759.775	200.9439505
20160324	5	2906591.261	201.2722577
20160324	6	2483334.178	201.4364114
20160324	7	2098512.247	201.4115396
20160324	8	1807046.182	201.162822
20160324	9	1396318.367	201.2523603
20160324	10	1517717.078	201.262309
20160324	11	2668704.026	201.4602883
20160324	12	1948888.758	201.2026168
20160324	13	1819304.058	201.0235401
20160324	14	1437701.642	201.162822
20160324	15	1773745.366	201.3408043
20160324	16	1251635.22	201.4504391
20160324	17	915182.3969	201.3816935
20160324	18	1025879.212	201.5110267
20160324	19	1461001.156	201.33195
20160324	20	1582462.186	201.5607702
20160324	21	2094403.17	201.7796417
20160324	22	1716343.928	201.7667084
20160324	23	2146087.282	201.9189236
20160324	24	3493472.649	201.9885645
20160324	25	4324143.547	202.023385
20160324	26	10232759.59	202.0781029
20160328	1	3672999.526	202.2173848
20160328	2	2501079.201	202.1666464
20160328	3	3255869.874	202.3069231
20160328	4	1748817.5	202.2571796
20160328	5	2070915.691	201.8691801
20160328	6	1984228.03	202.0084619
20160328	7	1586783.351	201.9447902
20160328	8	1697802.822	202.0781029
20160328	9	896174.8986	202.0482568
20160328	10	1295329.348	202.2223591
20160328	11	1179561.521	202.0781029
20160328	12	1076269.689	202.2124104
20160328	13	1669867.529	202.5357433
20160328	14	963040.8854	202.6053843
20160328	15	1214595.225	202.4859998
20160328	16	738711.1939	202.3964615
20160328	17	944644.5219	202.4810254
20160328	18	894655.1029	202.5556407
20160328	19	2122585.731	202.7745123
20160328	20	1083699.801	202.4859998
20160328	21	1598655.248	202.277077
20160328	22	2544447.658	202.2074361
20160328	23	3100518.001	202.545692
20160328	24	3117343.306	202.3378636
20160328	25	2544416.498	202.4163589
20160328	26	8648918.332	202.1974873
20160329	1	3543083.124	201.6503086
20160329	2	3096784.852	201.7895904
20160329	3	3132484.975	201.8492827
20160329	4	2211800.355	201.8731596
20160329	5	1658483.133	201.8293852
20160329	6	1498750.791	201.9835902
20160329	7	2001867.511	201.9189236
20160329	8	1607525.749	202.0134363
20160329	9	1773511.165	202.0870567
20160329	10	1647189.201	202.0830772
20160329	11	664787.0023	202.0880516
20160329	12	7448124.903	203.0331786
20160329	13	5031219.469	203.3316398
20160329	14	3501975.263	203.0829221
20160329	15	2887397.809	202.9834351
20160329	16	2133471.57	203.0331786
20160329	17	1582550.64	203.0928708
20160329	18	2295627.342	203.271848
20160329	19	3525241.607	203.5704087
20160329	20	3220242.122	203.898716
20160329	21	2573340.864	203.9653723
20160329	22	2993802.608	203.8489724
20160329	23	2897338.801	204.0578952
20160329	24	3163240.736	204.1474336
20160329	25	3522691.526	203.9186134
20160329	26	11771247.21	204.167331
20160330	1	5849773.212	205.5402523
20160330	2	5979602.166	205.5054319
20160330	3	2875905.861	205.3911212
20160330	4	2404990.316	205.3213808
20160330	5	3201558.284	205.6297907
20160330	6	2455530.56	205.5700985
20160330	7	2960584.216	205.4606627
20160330	8	3037586.195	205.1522528
20160330	9	3145312.775	204.9731761
20160330	10	1848105.796	205.1323554
20160330	11	1231272.772	205.1521533
20160330	12	1607766.986	204.9532787
20160330	13	1783885.379	204.8040481
20160330	14	1491895.628	204.8637404
20160330	15	1952287.191	204.7045611
20160330	16	1386412.556	204.6846637
20160330	17	1623152.908	204.8280245
20160330	18	1650147.375	204.9172644
20160330	19	1898535.473	204.9930735
20160330	20	1748053.581	205.1323554
20160330	21	1600353.961	204.9682018
20160330	22	1653250.291	205.1423041
20160330	23	2449486.558	205.3512269
20160330	24	2683766.288	205.3810731
20160330	25	2860249.553	205.1423041
20160330	26	7650780.417	204.9632274
20160331	1	3630873.442	205.0428171
20160331	2	3289153.601	204.9344757
20160331	3	3177102.841	205.112458
20160331	4	2849474.281	205.012971
20160331	5	2448454.263	205.1323554
20160331	6	1415221.33	205.0627145
20160331	7	2114937.5	205.2368168
20160331	8	1903597.438	205.1224067
20160331	9	1598177.799	205.1224067
20160331	10	1647741.031	205.2716373
20160331	11	1576435.271	205.2501481
20160331	12	951671.5669	205.3213808
20160331	13	1060555.081	205.1920477
20160331	14	738663.9516	205.112458
20160331	15	908462.9296	205.0676888
20160331	16	938439.6944	205.0428171
20160331	17	1557733.34	204.8239456
20160331	18	1991823.993	204.7642533
20160331	19	1692770.006	204.6415858
20160331	20	2780377.853	204.4856896
20160331	21	3307170.016	204.2867155
20160331	22	3089487.42	204.4259973
20160331	23	2233501.671	204.5354331
20160331	24	3595753.294	204.6946124
20160331	25	3565038.745	204.7443559
20160331	26	15203982.31	204.4657922
20160401	1	5947431.145	203.1127682
20160401	2	4010995.264	203.490819
20160401	3	7264315.057	204.2469206
20160401	4	3169834.558	204.1077383
20160401	5	4017446.354	204.5917428
20160401	6	2913360.986	204.8040481
20160401	7	2589690.73	204.8040481
20160401	8	2142027.457	204.7244585
20160401	9	2530619.728	204.9632274
20160401	10	2160622.841	204.7543046
20160401	11	1356527.26	204.6846637
20160401	12	1705451.053	204.5851766
20160401	13	1473827.95	204.674715
20160401	14	1356171.435	204.7443559
20160401	15	1308364.21	204.9234326
20160401	16	2077562.788	205.1522528
20160401	17	1613783.849	205.2616886
20160401	18	2387220.164	205.2666629
20160401	19	2085569.86	205.4258422
20160401	20	1914455.132	205.2517399
20160401	21	2667031.447	205.5402523
20160401	22	2177242.089	205.5203549
20160401	23	3239492.868	205.5601498
20160401	24	3178833.719	205.619842
20160401	25	5835737.215	205.9382006
20160401	26	18460295.46	205.8586109
20160404	1	3845741.6	205.7392264
20160404	2	2612042.382	205.8685596
20160404	3	2279469.461	205.7392264
20160404	4	1528109.385	205.7790213
20160404	5	1818507.975	205.7392264
20160404	6	2751911.838	205.2308476
20160404	7	2172729.944	205.2268681
20160404	8	1665244.817	205.3213808
20160404	9	1352675.503	205.2915347
20160404	10	1151361.871	205.4109192
20160404	11	1611546.372	205.7103752
20160404	12	1029995.326	205.6496881
20160404	13	1023854.828	205.7093803
20160404	14	689464.5851	205.6994316
20160404	15	753133.1709	205.5303036
20160404	16	682446.5865	205.5004575
20160404	17	916584.5894	205.3512269
20160404	18	1081024.076	205.2119451
20160404	19	2389670.735	205.0627145
20160404	20	1784512.597	205.0826119
20160404	21	1251162.797	205.2119451
20160404	22	1289437.124	205.1622015
20160404	23	1101858.948	205.2318425
20160404	24	2469846.996	204.8736891
20160404	25	2278879.434	204.8886121
20160404	26	11257265.76	205.1920477
20160405	1	6563383.653	203.3515372
20160405	2	4987127.3	203.5903061
20160405	3	5900830.107	203.8489724
20160405	4	2866069.405	203.998203
20160405	5	2275839.843	203.5107165
20160405	6	1791692.425	203.4012807
20160405	7	2125760.014	203.6498988
20160405	8	1643539.48	203.729588
20160405	9	1787246.621	203.5405626
20160405	10	2198329.255	203.5166857
20160405	11	1281672.294	203.5534959
20160405	12	2300007.812	203.3117423
20160405	13	1556472.875	203.391332
20160405	14	1528005.854	203.2520501
20160405	15	2326133.824	203.3515372
20160405	16	1517261.742	203.5505113
20160405	17	1475524.653	203.3515372
20160405	18	1610784.464	203.490819
20160405	19	1256349.401	203.4808703
20160405	20	2042135.062	203.729588
20160405	21	1513388.877	203.7892802
20160405	22	1590356.68	203.8777242
